Time,Source IP,Destination IP,Protocol,Type,Src Port,Dst Port,Info
17:25:25,108.158.232.62,192.168.1.2,17,UDP,443,57948,
17:25:25,108.158.232.62,192.168.1.2,17,UDP,443,57948,
17:25:25,192.168.1.2,108.158.232.62,17,UDP,57948,443,
17:25:25,192.168.1.2,108.158.232.62,17,UDP,57948,443,
17:25:25,20.235.213.23,192.168.1.2,6,TCP,443,58294,
17:25:25,20.235.213.23,192.168.1.2,6,TCP,443,58294,
17:25:25,20.235.213.23,192.168.1.2,6,TCP,443,58294,
17:25:25,20.235.213.23,192.168.1.2,6,TCP,443,58294,
17:25:25,192.168.1.2,20.235.213.23,6,TCP,58294,443,
17:25:25,192.168.1.2,20.235.213.23,6,TCP,58294,443,
17:25:25,192.168.1.2,20.235.213.23,6,TCP,58294,443,
17:25:25,192.168.1.2,20.235.213.23,6,TCP,58294,443,
17:25:25,192.168.1.2,20.235.213.23,6,TCP,58294,443,
17:25:25,54.192.142.37,192.168.1.2,17,UDP,443,64384,
17:25:25,54.192.142.37,192.168.1.2,17,UDP,443,64384,
17:25:25,192.168.1.2,54.192.142.37,17,UDP,64384,443,
17:25:25,192.168.1.2,54.192.142.37,17,UDP,64384,443,
17:25:25,54.192.142.37,192.168.1.2,17,UDP,443,64384,
17:25:25,192.168.1.2,54.192.142.37,17,UDP,64384,443,
17:25:25,140.82.113.26,192.168.1.2,6,TCP,443,57578,
17:25:25,192.168.1.2,140.82.113.26,6,TCP,57578,443,
17:25:25,54.192.142.37,192.168.1.2,17,UDP,443,64384,
17:25:25,108.158.232.62,192.168.1.2,17,UDP,443,57948,
17:25:25,108.158.232.62,192.168.1.2,17,UDP,443,57948,
17:25:25,192.168.1.2,54.192.142.37,17,UDP,64384,443,
17:25:25,192.168.1.2,108.158.232.62,17,UDP,57948,443,
17:25:25,192.168.1.2,108.158.232.62,17,UDP,57948,443,
17:25:25,54.192.142.37,192.168.1.2,17,UDP,443,64384,
17:25:25,108.158.232.62,192.168.1.2,17,UDP,443,57948,
17:25:25,192.168.1.2,54.192.142.37,17,UDP,64384,443,
17:25:25,20.235.213.23,192.168.1.2,6,TCP,443,58294,
17:25:25,20.235.213.23,192.168.1.2,6,TCP,443,58294,
17:25:25,20.235.213.23,192.168.1.2,6,TCP,443,58294,
17:25:25,20.235.213.23,192.168.1.2,6,TCP,443,58294,
17:25:25,192.168.1.2,108.158.232.62,17,UDP,57948,443,
17:25:25,20.235.213.23,192.168.1.2,6,TCP,443,58294,
17:25:25,192.168.1.2,20.235.213.23,6,TCP,58294,443,
17:25:25,192.168.1.2,20.235.213.23,6,TCP,58294,443,
17:25:25,108.158.232.62,192.168.1.2,17,UDP,443,57948,
17:25:25,192.168.1.2,108.158.232.62,17,UDP,57948,443,
17:25:25,20.235.213.23,192.168.1.2,6,TCP,443,58294,
17:25:25,20.235.213.23,192.168.1.2,6,TCP,443,58294,
17:25:25,192.168.1.2,20.235.213.23,6,TCP,58294,443,
17:25:25,108.158.232.62,192.168.1.2,17,UDP,443,57948,
17:25:25,192.168.1.2,20.235.213.23,6,TCP,58294,443,
17:25:25,192.168.1.2,108.158.232.62,17,UDP,57948,443,
17:25:25,192.168.1.2,20.235.213.23,6,TCP,58294,443,
17:25:25,20.235.213.23,192.168.1.2,6,TCP,443,58294,
17:25:25,140.82.113.26,192.168.1.2,6,TCP,443,57578,
